Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR15742269,2025-10-24 02:32:00,,0,0,0,0,0,,,ERX15147978,DKC_AAQZ_ONT,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,PromethION,ERP174943,PRJEB92016,,1288979,ERS25301789,SAMEA118782992,simple,1200667,Doris verrucosa,SAMEA118782992,,,,,NOT_AVAILABLE,,no,,,,,GSC,ERA35066802,,public,,
ERR15749366,2025-10-24 02:45:37,,0,0,0,0,0,,,ERX15154527,,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP176864,,,0,ERS26531170,SAMEA119980283,simple,4932,Saccharomyces cerevisiae,SAMEA119980283,,,,,,,no,,,,,SORBONNE UNIVERSITY,ERA35068377,,public,,
ERR15726136,2025-10-22 21:13:23,2025-10-23 07:24:44,6312873,97652362168,0,15468,80749,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/ERR015/15726/ERR15726136/ERR15726136.1,ERX15131264,FG1930_all-nanopore-data,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,PromethION,SRP060508,PRJNA73575,,73575,SRS981154,SAMN03846931,simple,8665,Ophiophagus hannah,Male King Cobra,,,,,male,,no,,,,,FUTURE GENOMICS TECHNOLOGIES B.V.,ERA35062314,,public,1B8C3915C3EEC45BB1AFBA23ED1027AF,B1D6BC88A399589C274A61AEB756244F
SRR35846326,2025-10-22 15:45:24,2025-10-22 15:43:19,815386,4602165414,0,5644,3268,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35846/SRR35846326/SRR35846326.1,SRX30895616,Colletotrichum_lini_774_ONT_genome,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,PromethION,SRP420129,PRJNA929545,3,929545,SRS5878243,SAMN13621712,simple,500171,Colletotrichum lini,Colletotrichum lini 774,,,,,,,no,,,,,"ENGELHARDT INSTITUTE OF MOLECULAR BIOLOGY, RUSSIAN ACADEMY OF SCIENCES",SRA2257352,,public,A35C028AFB6F9333BC3687B4690703A9,DC549C6EC056DA65B7F78A57F0041DB8
SRR35839602,2025-10-21 23:03:34,2025-10-21 22:58:47,7655,4005341,0,523,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839602/SRR35839602.1,SRX30888991,phl100,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890734,SAMN52858283,simple,1773,Mycobacterium tuberculosis,phl100.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,2D4B1E957F8AAA5214052E8B0289EF66,8F8F6AD5E0740F736791CE828BCD4127
SRR35839604,2025-10-21 23:03:33,2025-10-21 22:58:47,6367,3223807,0,506,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839604/SRR35839604.1,SRX30888989,phl98,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890732,SAMN52858281,simple,1773,Mycobacterium tuberculosis,phl98.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,C4E780A02E71FF3D6DDDA5FE4CD36561,C5A87E081702B3A8E465E75B071D2699
SRR35839603,2025-10-21 23:03:33,2025-10-21 22:58:48,9929,4419932,0,445,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839603/SRR35839603.1,SRX30888990,phl99,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890733,SAMN52858282,simple,1773,Mycobacterium tuberculosis,phl99.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,7C398E221E82E1568903725F8E6D59D8,08B6638F43B0A448F493DF7C5C5F8B08
SRR35841438,2025-10-22 04:50:37,2025-10-22 04:38:10,2233710,4129284828,0,1848,3633,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35841/SRR35841438/SRR35841438.1,SRX30890728,NB05_PZ9575,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636682,PRJNA1347598,,1347598,SRS26892294,SAMN52861642,simple,10345,Suid alphaherpesvirus 1,SuHV-1_IZSPB,,,,,,,no,,,,,ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA PUGLIA E DELLA BASILICATA,SRA2257037,,public,851AF84C737D5B9EA2B926AB333E30F9,DE5C91B51D0AB2B870A8810C7853475B
SRR35839609,2025-10-21 23:03:30,2025-10-21 22:58:55,11145,5482590,0,491,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839609/SRR35839609.1,SRX30888984,phl93,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890727,SAMN52858276,simple,1773,Mycobacterium tuberculosis,phl93.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,610CD06EE17EB4CC0492F32149B6590D,325A7C7E3D5761B89CA3675E8886D218
SRR35839608,2025-10-21 23:03:32,2025-10-21 22:58:56,9324,4560040,0,489,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839608/SRR35839608.1,SRX30888985,phl94,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890729,SAMN52858277,simple,1773,Mycobacterium tuberculosis,phl94.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,DE7BA85FC682AFC3C7EAFB5A94694872,94D738FE2072DFB4AD5AC4BA5852B847
SRR35839607,2025-10-21 23:03:31,2025-10-21 22:59:01,10215,4836846,0,473,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839607/SRR35839607.1,SRX30888986,phl95,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890728,SAMN52858278,simple,1773,Mycobacterium tuberculosis,phl95.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,C6874E4CB99364B1047214F8BFF62B2F,E596719F2AF68C41FBADA2B8949D50EA
SRR35839606,2025-10-21 23:03:32,2025-10-21 22:58:48,9035,4744112,0,525,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839606/SRR35839606.1,SRX30888987,phl96,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890730,SAMN52858279,simple,1773,Mycobacterium tuberculosis,phl96.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,CAE344F85CC36C9FD0D73AC84C2FBC6F,FAE634D61D5AD9A660C2810FF301B7C3
SRR35839605,2025-10-21 23:03:33,2025-10-21 22:59:16,9445,5092013,0,539,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839605/SRR35839605.1,SRX30888988,phl97,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890731,SAMN52858280,simple,1773,Mycobacterium tuberculosis,phl97.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,5A19EAF50E820557C47A497F3FFFBC42,D2627ABEF2628304DDC50C288DE2F4E5
SRR35839612,2025-10-21 23:03:29,2025-10-21 22:59:16,25412,13301030,0,523,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839612/SRR35839612.1,SRX30888981,phl10,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890724,SAMN52858193,simple,1773,Mycobacterium tuberculosis,phl10.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,A35848B3567AC0C06FEDA592A9E6703E,77FC2861A02D8BA5AF70F95C2348EFD7
SRR35839614,2025-10-21 23:03:28,2025-10-21 22:59:21,43231,21672630,0,501,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839614/SRR35839614.1,SRX30888979,phl89,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890722,SAMN52858272,simple,1773,Mycobacterium tuberculosis,phl89.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,ABF0FE4790C8B38055EDBA9CC4805B04,0F7AA293D9CA5BFCA0AE6D63B2FDBB27
SRR35839613,2025-10-21 23:03:29,2025-10-21 22:58:56,23584,12210986,0,517,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839613/SRR35839613.1,SRX30888980,phl90,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890723,SAMN52858273,simple,1773,Mycobacterium tuberculosis,phl90.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,325AA7842FE58EF16F9A6C3A94E0E109,9DB1940C96DDE006DA8690CCA984F753
SRR35839611,2025-10-21 23:03:29,2025-10-21 22:59:17,18575,6803859,0,366,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839611/SRR35839611.1,SRX30888982,phl91,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890725,SAMN52858274,simple,1773,Mycobacterium tuberculosis,phl91.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,6C878F1D331855CFD62EE0661171B7D5,066CAF5415D591AC8251F8C3BD7BE627
SRR35839610,2025-10-21 23:03:29,2025-10-21 22:58:47,1727,829202,0,480,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839610/SRR35839610.1,SRX30888983,phl92,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890726,SAMN52858275,simple,1773,Mycobacterium tuberculosis,phl92.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,2C8D222EB2A0FF13D9372A7E02707E46,AD09DBB48EFFAB21FD871D2F35B2CC72
SRR35839619,2025-10-21 23:03:26,2025-10-21 22:58:59,21013,10441843,0,496,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839619/SRR35839619.1,SRX30888974,phl84,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890716,SAMN52858267,simple,1773,Mycobacterium tuberculosis,phl84.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,832A42A26300B419E47578895651ECB3,C6CCDA63CC043ABB6EBF7C67C33C25D0
SRR35839618,2025-10-21 23:03:27,2025-10-21 22:58:56,34062,16614384,0,487,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839618/SRR35839618.1,SRX30888975,phl85,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890718,SAMN52858268,simple,1773,Mycobacterium tuberculosis,phl85.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,1971BE3ABAD6F8069ACCEE4FFA85B7CC,7AE0575E981EF502DF858CC93E298614
SRR35839617,2025-10-21 23:03:27,2025-10-21 22:59:29,30497,14320442,0,469,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839617/SRR35839617.1,SRX30888976,phl86,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890719,SAMN52858269,simple,1773,Mycobacterium tuberculosis,phl86.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,A3C1AA566A4F3C9822EE8B4BA2D2B435,852209B0C488D4E1D9E5EF5D81D90B60
SRR35839616,2025-10-21 23:03:28,2025-10-21 22:58:55,41316,19491471,0,471,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839616/SRR35839616.1,SRX30888977,phl87,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890720,SAMN52858270,simple,1773,Mycobacterium tuberculosis,phl87.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,B950993AA7055252DCFB9D62BC41D8A6,DA65C0605614DFEE75390BBEBBF9516D
SRR35839615,2025-10-21 23:03:28,2025-10-21 22:58:56,21235,11045188,0,520,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839615/SRR35839615.1,SRX30888978,phl88,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890721,SAMN52858271,simple,1773,Mycobacterium tuberculosis,phl88.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,C240A5F444F25845957636D9DE6BD97E,867A9BD4DCBBF58A33FB63C8762A2DA0
SRR35839624,2025-10-21 23:03:13,2025-10-21 22:58:55,23376,11155379,0,477,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839624/SRR35839624.1,SRX30888969,phl80,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890712,SAMN52858263,simple,1765,Mycobacterium tuberculosis variant bovis,phl80.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,78A8BD50B31AB46EB5D92CD647B73C11,AD46680611CC768248460848E79117D5
